date,open,high,low,close,volume
10/31/1986,0.0833,0.0843,0.0817,0.0822,135248
11/3/1986,0.0828,0.0844,0.0828,0.0839,89587
11/4/1986,0.0839,0.0871,0.0839,0.0871,115542
11/5/1986,0.087,0.0929,0.0865,0.0923,95723
11/6/1986,0.0924,0.0966,0.0919,0.0945,154136
11/7/1986,0.0945,0.095,0.0923,0.0939,94083
11/10/1986,0.0939,0.0939,0.0897,0.0902,60867
11/11/1986,0.0907,0.0918,0.0907,0.0907,25242
11/12/1986,0.0907,0.0928,0.0897,0.0907,72487
11/13/1986,0.0908,0.0913,0.0892,0.0895,64173
11/14/1986,0.0894,0.0902,0.0875,0.0902,39722
11/17/1986,0.0902,0.0918,0.0891,0.0907,51584
11/18/1986,0.0908,0.0913,0.086,0.086,126737
11/19/1986,0.0859,0.0897,0.0859,0.0891,103400
11/20/1986,0.0892,0.0961,0.0892,0.0961,208533
11/21/1986,0.0966,0.1003,0.0966,0.0992,193266
11/24/1986,0.0993,0.1078,0.0961,0.1072,369115
11/25/1986,0.1072,0.1089,0.1067,0.1083,203391
11/26/1986,0.1083,0.1089,0.1072,0.1072,82372
11/28/1986,0.1072,0.1077,0.1046,0.1056,87745
12/1/1986,0.1056,0.1061,0.1029,0.1035,85527
12/2/1986,0.104,0.1061,0.104,0.104,61079
12/3/1986,0.104,0.1051,0.103,0.1032,74649
12/4/1986,0.1033,0.1056,0.1025,0.1046,90286
12/5/1986,0.1046,0.1051,0.104,0.104,228238
12/8/1986,0.104,0.1051,0.1014,0.103,48136
12/9/1986,0.103,0.1035,0.1019,0.1024,34174
12/10/1986,0.1024,0.1035,0.1014,0.1032,58570
12/11/1986,0.1032,0.1046,0.103,0.104,24701
12/12/1986,0.104,0.104,0.1003,0.1003,53664
12/15/1986,0.1003,0.1008,0.096,0.0976,107745
12/16/1986,0.0981,0.1003,0.0981,0.0987,164031
12/17/1986,0.0988,0.1004,0.0988,0.0998,49594
12/18/1986,0.0998,0.1008,0.0993,0.1006,26908
12/19/1986,0.1009,0.104,0.1009,0.103,120187
12/22/1986,0.103,0.1051,0.103,0.104,38885
12/23/1986,0.104,0.1051,0.104,0.1051,50502
12/24/1986,0.1051,0.1051,0.1046,0.1048,14919
12/26/1986,0.1048,0.1056,0.1046,0.1046,7891
